O10000,X4,Y4
O10001,X4,Y2
O10002,X4,Y2
O10003,X2,Y1
O10004,X3,Y4
O10005,X3,Y1
O10006,X4,Y2
O10007,X1,Y4
O10008,X2,Y4
O10009,X0,Y2
O100010,X2,Y0
O100011,X4,Y1
O100012,X2,Y3
O100013,X3,Y4
O100014,X1,Y0
O100015,X2,Y1
O100016,X1,Y2
O100017,X2,Y2
O100018,X2,Y1
O100019,X1,Y4
O100020,X3,Y2
O100021,X1,Y1
O100022,X1,Y3
O100023,X2,Y0
O100024,X3,Y0
O100025,X4,Y2
O100026,X0,Y3
O100027,X1,Y4
O100028,X1,Y1
O100029,X4,Y3
O100030,X2,Y2
O100031,X0,Y2
O100032,X4,Y2
O100033,X2,Y1
O100034,X2,Y4
O100035,X0,Y0
O100036,X4,Y1
O100037,X4,Y3
O100038,X3,Y2
O100039,X3,Y3
O100040,X1,Y4
O100041,X2,Y3
O100042,X4,Y2
O100043,X1,Y0
O100044,X2,Y2
O100045,X0,Y1
O100046,X0,Y0
O100047,X3,Y3
O100048,X1,Y4
O100049,X4,Y0
O100050,X0,Y2
O100051,X1,Y0
O100052,X0,Y3
O100053,X2,Y3
O100054,X1,Y4
O100055,X1,Y1
O100056,X3,Y1
O100057,X1,Y0
O100058,X0,Y0
O100059,X0,Y2
O100060,X3,Y4
O100061,X0,Y3
O100062,X3,Y2
O100063,X3,Y4
O100064,X2,Y3
O100065,X4,Y3
O100066,X1,Y1
O100067,X2,Y2
O100068,X2,Y4
O100069,X0,Y2
O100070,X1,Y1
O100071,X1,Y1
O100072,X3,Y1
O100073,X1,Y3
O100074,X3,Y4
O100075,X4,Y0
O100076,X0,Y0
O100077,X1,Y1
O100078,X2,Y1
O100079,X2,Y4
O100080,X3,Y4
O100081,X4,Y0
O100082,X0,Y3
O100083,X3,Y2
O100084,X3,Y2
O100085,X0,Y2
O100086,X1,Y2
O100087,X1,Y4
O100088,X3,Y1
O100089,X1,Y2
O100090,X4,Y4
O100091,X3,Y4
O100092,X2,Y4
O100093,X4,Y0
O100094,X1,Y0
O100095,X2,Y0
O100096,X0,Y1
O100097,X2,Y1
O100098,X2,Y4
O100099,X4,Y4
O1000100,X4,Y1
O1000101,X1,Y3
O1000102,X4,Y4
O1000103,X4,Y3
O1000104,X0,Y1
O1000105,X3,Y2
O1000106,X3,Y4
O1000107,X0,Y0
O1000108,X2,Y0
O1000109,X4,Y1
O1000110,X2,Y4
O1000111,X1,Y2
O1000112,X0,Y1
O1000113,X3,Y2
O1000114,X0,Y3
O1000115,X3,Y3
O1000116,X1,Y3
O1000117,X1,Y4
O1000118,X0,Y4
O1000119,X1,Y1
O1000120,X0,Y0
O1000121,X1,Y4
O1000122,X2,Y1
O1000123,X1,Y1
O1000124,X4,Y1
O1000125,X0,Y3
O1000126,X4,Y2
O1000127,X0,Y3
O1000128,X3,Y3
O1000129,X3,Y3
O1000130,X4,Y2
O1000131,X1,Y3
O1000132,X3,Y4
O1000133,X0,Y2
O1000134,X4,Y0
O1000135,X4,Y2
O1000136,X1,Y3
O1000137,X2,Y3
O1000138,X3,Y0
O1000139,X0,Y3
O1000140,X0,Y4
O1000141,X3,Y4
O1000142,X0,Y1
O1000143,X0,Y0
O1000144,X2,Y3
O1000145,X4,Y0
O1000146,X1,Y1
O1000147,X0,Y0
O1000148,X1,Y3
O1000149,X0,Y0
O1000150,X1,Y4
O1000151,X1,Y2
O1000152,X1,Y3
O1000153,X3,Y1
O1000154,X0,Y3
O1000155,X4,Y4
O1000156,X1,Y2
O1000157,X4,Y1
O1000158,X3,Y2
O1000159,X1,Y0
O1000160,X3,Y2
