"""PID"":""47e6c8daabe97cc3b39cd52b109fe319806f00e41b98df8d8b3f563cda972820""","""O"":""w""","""X"":""X3""","""Y"":""Y0""","""B"":""B0""","""C"":""C3"""
"""PID"":""7823e40ef06488c2af0a90dbded8917bcfbf5fb29620b3e917c698645fb24e80""","""O"":""w""","""X"":""X3""","""Y"":""Y0""","""A"":""A2""","""B"":""B3""","""C"":""C0"""
"""PID"":""c6cd1a1685e2d61d03ce71f97a97c3d2d26a1e3e230c785b20e8e75e0968d387""","""O"":""w""","""X"":""X3""","""Y"":""Y0""","""A"":""A3""","""B"":""B1""","""C"":""C1"""
"""PID"":""44ed48c6b3eb3cafd10ec4e4b925812ec9eabde5091239c9765208928880d5c7""","""O"":""r""","""X"":""X3""","""Y"":""Y2""","""A"":""A3""","""B"":""B3""","""C"":""C2"""
"""PID"":""f15dbb333d85b6f95b6a8f2d1059083203c39fc6c23b6751893a526ec9c22c2f""","""O"":""r""","""X"":""X3""","""Y"":""Y2""","""A"":""A3""","""B"":""B2"""
"""PID"":""8f11cb9b2ca73e5223412149a834b125e6b3fdec9bd69639e0bfbddf75e41bca""","""O"":""w""","""X"":""X3""","""Y"":""Y3""","""A"":""A1""","""B"":""B0""","""C"":""C1"""
"""PID"":""547e096ea615a97d4686687a8ed88346d09ca6a72ea3d5e5177a10cf6ec15806""","""O"":""w""","""X"":""X3""","""Y"":""Y3""","""A"":""A1""","""B"":""B2""","""C"":""C3"""
"""PID"":""190b0a5a0509c4e0a55be381c04dfd0940fc58a3789b4c9f4a65eca8e986aa25""","""O"":""r""","""X"":""X0""","""Y"":""Y2""","""A"":""A3""","""B"":""B0""","""C"":""C2"""
"""PID"":""52b858cc5e72ea5a1b2488857fd52350522865949303fc452db3bd6947706c87""","""O"":""r""","""X"":""X0""","""Y"":""Y2""","""A"":""A3""","""B"":""B3"""
"""PID"":""c144211005a4b9323f1ef2001ac1ff79228d9241d6ae630426fad1d95bc24dbe""","""O"":""r""","""X"":""X0""","""Y"":""Y2""","""A"":""A2""","""B"":""B2""","""C"":""C3"""
"""PID"":""d4e60139aec8e57dae9696bf3cd54e08f8ece80a82722461b6881cd8d16b1660""","""O"":""r""","""X"":""X3""","""Y"":""Y0""","""A"":""A1""","""B"":""B0""","""C"":""C1"""
"""PID"":""afdde4e06b2632f696c8e2e3fd53adb22fd3131a821636eed211bba0bc069849""","""O"":""r""","""X"":""X3""","""Y"":""Y0""","""A"":""A2""","""B"":""B2""","""C"":""C2"""
